location_id,location,location_name,year,age_group_id,age_group,age_start,age_end,sex_id,sex,unit,metric,measure,mean,lower,upper
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.079,0.05,0.116
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.245,0.178,0.325
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.205,0.137,0.285
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.063,0.045,0.085
160,AFG,Afghanistan,1990,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.226,0.175,0.28
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.248,0.179,0.335
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.08,0.051,0.116
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.207,0.14,0.289
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.228,0.176,0.284
160,AFG,Afghanistan,1991,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.063,0.045,0.085
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.08,0.052,0.118
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.251,0.18,0.335
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.208,0.144,0.29
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.028,0.069
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.064,0.045,0.085
160,AFG,Afghanistan,1992,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.23,0.178,0.287
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.252,0.181,0.336
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.081,0.052,0.119
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.209,0.145,0.288
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.231,0.179,0.288
160,AFG,Afghanistan,1993,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.064,0.045,0.087
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.254,0.181,0.341
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.081,0.052,0.117
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.209,0.148,0.287
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.232,0.181,0.288
160,AFG,Afghanistan,1994,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.064,0.046,0.087
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.255,0.181,0.341
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.082,0.052,0.117
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.21,0.147,0.286
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.046,0.027,0.07
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.233,0.182,0.289
160,AFG,Afghanistan,1995,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.064,0.046,0.086
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.082,0.053,0.12
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.256,0.184,0.343
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.21,0.146,0.288
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.064,0.046,0.088
160,AFG,Afghanistan,1996,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.234,0.181,0.291
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.083,0.054,0.121
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.258,0.183,0.343
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.211,0.148,0.289
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.046,0.028,0.069
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.235,0.183,0.292
160,AFG,Afghanistan,1997,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.065,0.046,0.087
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.258,0.186,0.343
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.083,0.054,0.119
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.211,0.148,0.291
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.027,0.07
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.065,0.047,0.087
160,AFG,Afghanistan,1998,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.235,0.184,0.289
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.259,0.185,0.343
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.083,0.055,0.12
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.028,0.069
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.211,0.149,0.288
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.065,0.047,0.086
160,AFG,Afghanistan,1999,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.236,0.184,0.289
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.084,0.056,0.121
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.259,0.19,0.344
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.211,0.151,0.288
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.028,0.07
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.065,0.047,0.087
160,AFG,Afghanistan,2000,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.236,0.186,0.29
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.084,0.057,0.119
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.26,0.188,0.345
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,2,female,pct,obese,prevalence,0.045,0.028,0.069
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.212,0.151,0.284
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,3,both,pct,overweight,prevalence,0.236,0.186,0.293
160,AFG,Afghanistan,2001,9,20 to 24 yrs,20,24,3,both,pct,obese,prevalence,0.065,0.048,0.086
160,AFG,Afghanistan,2002,9,20 to 24 yrs,20,24,1,male,pct,obese,prevalence,0.084,0.056,0.121
160,AFG,Afghanistan,2002,9,20 to 24 yrs,20,24,1,male,pct,overweight,prevalence,0.26,0.186,0.345
160,AFG,Afghanistan,2002,9,20 to 24 yrs,20,24,2,female,pct,overweight,prevalence,0.212,0.15,0.281
